ID,x,y,z,q
./data/0.jpg,0,0,2,4
./data/1.jpg,2,9,3,3
./data/2.jpg,2,0,6,9
./data/3.jpg,4,2,1,5
./data/4.jpg,6,4,2,7
./data/5.jpg,1,7,1,9
./data/6.jpg,0,5,1,5
./data/7.jpg,4,2,9,7
./data/8.jpg,1,5,4,4
./data/9.jpg,0,8,6,2
./data/10.jpg,5,5,6,1
./data/11.jpg,6,6,7,1
./data/12.jpg,0,0,5,8
./data/13.jpg,7,6,9,0
./data/14.jpg,2,1,3,4
./data/15.jpg,0,6,8,7
./data/16.jpg,4,7,6,6
./data/17.jpg,3,9,7,6
./data/18.jpg,0,2,6,2
./data/19.jpg,7,3,2,8
./data/20.jpg,8,0,0,3
./data/21.jpg,0,7,5,1
./data/22.jpg,3,7,9,7
./data/23.jpg,8,0,1,1
./data/24.jpg,7,4,1,9
./data/25.jpg,4,9,9,9
./data/26.jpg,6,6,8,1
./data/27.jpg,4,8,2,7
./data/28.jpg,3,9,1,5
./data/29.jpg,9,8,5,3
./data/30.jpg,8,0,9,0
./data/31.jpg,6,3,8,6
./data/32.jpg,1,1,1,4
./data/33.jpg,1,0,9,2
./data/34.jpg,0,1,3,8
./data/35.jpg,7,9,6,2
./data/36.jpg,9,1,5,0
./data/37.jpg,3,1,0,4
./data/38.jpg,9,4,7,4
./data/39.jpg,2,7,9,8
./data/40.jpg,6,8,5,4
./data/41.jpg,4,6,7,2
./data/42.jpg,7,9,1,8
./data/43.jpg,5,1,0,9
./data/44.jpg,2,5,8,3
./data/45.jpg,5,6,6,9
./data/46.jpg,1,1,8,3
./data/47.jpg,3,7,6,1
./data/48.jpg,0,5,9,7
./data/49.jpg,5,7,1,8
./data/50.jpg,7,4,6,9
./data/51.jpg,8,0,0,6
./data/52.jpg,8,1,8,5
./data/53.jpg,1,9,4,0
./data/54.jpg,0,8,6,7
./data/55.jpg,5,7,8,7
./data/56.jpg,9,9,5,0
./data/57.jpg,3,9,8,8
./data/58.jpg,1,3,4,1
./data/59.jpg,0,0,9,9
./data/60.jpg,8,1,3,6
./data/61.jpg,7,0,2,3
./data/62.jpg,5,8,8,4
./data/63.jpg,8,1,1,4
./data/64.jpg,9,0,0,1
./data/65.jpg,9,2,6,6
./data/66.jpg,8,6,0,0
./data/67.jpg,3,3,3,3
./data/68.jpg,5,5,7,4
./data/69.jpg,6,9,6,8
./data/70.jpg,4,2,1,7
./data/71.jpg,5,8,4,2
./data/72.jpg,0,0,2,6
./data/73.jpg,6,2,8,7
./data/74.jpg,9,0,0,5
./data/75.jpg,6,1,7,4
